TIMESTAMP,BYTE0,BYTE1,BYTE2,BYTE3,BYTE4,BYTE5,BYTE6,BYTE7
85085,255,206,112,9,70,0,0,0
85103,255,206,112,13,74,0,0,0
85114,255,206,112,15,76,0,0,0
85126,255,206,112,1,62,0,0,0
85144,255,206,112,5,66,0,0,0
85155,255,206,112,7,68,0,0,0
85167,255,206,112,9,70,0,0,0
85174,255,206,112,11,72,0,0,0
85185,255,206,112,13,74,0,0,0
85203,255,206,112,1,62,0,0,0
85215,255,206,112,3,64,0,0,0
85226,255,206,112,5,66,0,0,0
85233,255,206,112,7,68,0,0,0
85244,255,206,112,9,70,0,0,0
85256,255,206,112,11,72,0,0,0
85266,255,206,112,13,74,0,0,0
85274,255,206,112,15,76,0,0,0
85285,255,206,112,1,62,0,0,0
85304,255,206,112,5,66,0,0,0
85315,255,206,112,7,68,0,0,0
85326,255,206,112,9,70,0,0,0
85334,255,206,112,11,72,0,0,0
85345,255,206,112,13,74,0,0,0
85356,255,206,112,15,76,0,0,0
85366,255,206,112,1,62,0,0,0
85373,255,206,112,3,64,0,0,0
85386,255,206,112,5,66,0,0,0
85404,255,206,112,9,70,0,0,0
85415,255,206,112,11,72,0,0,0
85426,255,206,112,13,74,0,0,0
85434,255,206,112,15,76,0,0,0
85445,255,206,112,1,62,0,0,0
85455,255,206,112,3,64,0,0,0
85464,255,206,112,5,66,0,0,0
85475,255,206,112,7,68,0,0,0
85486,255,206,112,9,70,0,0,0
85505,255,206,112,13,74,0,0,0
85515,255,206,112,15,76,0,0,0
85526,255,206,112,1,62,0,0,0
85533,255,206,112,3,64,0,0,0
85544,255,206,112,5,66,0,0,0
85556,255,206,112,7,68,0,0,0
85564,255,206,112,9,70,0,0,0
85574,255,206,112,11,72,0,0,0
85585,255,206,112,13,74,0,0,0
85604,255,206,112,1,62,0,0,0
85615,255,206,112,3,64,0,0,0
85626,255,206,112,5,66,0,0,0
85634,255,206,112,7,68,0,0,0
85645,255,206,112,9,70,0,0,0
85656,255,206,112,11,72,0,0,0
85663,255,206,112,13,74,0,0,0
85675,255,206,112,15,76,0,0,0
85686,255,206,112,1,62,0,0,0
85704,255,206,112,5,66,0,0,0
85715,255,206,112,7,68,0,0,0
85727,255,206,112,9,70,0,0,0
85734,255,206,112,11,72,0,0,0
85745,255,206,112,13,74,0,0,0
85755,255,206,112,15,76,0,0,0
85764,255,206,112,1,62,0,0,0
85775,255,206,112,3,64,0,0,0
85786,255,206,112,5,66,0,0,0
85793,255,206,112,7,68,0,0,0
85805,255,206,112,9,70,0,0,0
85815,255,206,112,11,72,0,0,0
85826,255,206,112,13,74,0,0,0
85833,255,206,112,15,76,0,0,0
85844,255,206,112,1,62,0,0,0
85856,255,206,112,3,64,0,0,0
85864,255,206,112,5,66,0,0,0
85885,255,206,112,9,70,0,0,0
85894,255,206,112,11,72,0,0,0
85904,255,206,112,13,74,0,0,0
85915,255,206,112,15,76,0,0,0
85926,255,206,112,1,62,0,0,0
85934,255,206,112,3,64,0,0,0
85945,255,206,112,5,66,0,0,0
85956,255,206,112,7,68,0,0,0
85963,255,206,112,9,70,0,0,0
85975,255,206,112,11,72,0,0,0
85986,255,206,112,13,74,0,0,0
85993,255,206,112,15,76,0,0,0
86004,255,206,112,1,62,0,0,0
86016,255,206,112,3,64,0,0,0
86027,255,206,112,5,66,0,0,0
86034,255,206,112,7,68,0,0,0
86045,255,206,112,9,70,0,0,0
86056,255,206,112,11,72,0,0,0
86064,255,206,112,13,74,0,0,0
86075,255,206,112,15,76,0,0,0
86086,255,206,112,1,62,0,0,0
86093,255,206,112,3,64,0,0,0
86105,255,206,112,5,66,0,0,0
86115,255,206,112,7,68,0,0,0
86126,255,206,112,9,70,0,0,0
86133,255,206,112,11,72,0,0,0
86145,255,206,112,13,74,0,0,0
86156,255,206,112,15,76,0,0,0
86164,255,206,112,1,62,0,0,0
86174,255,206,112,3,64,0,0,0
86185,255,206,112,5,66,0,0,0
86194,255,206,112,7,68,0,0,0
86204,255,206,112,9,70,0,0,0
86215,255,206,112,11,72,0,0,0
86226,255,206,112,13,74,0,0,0
86234,255,206,112,15,76,0,0,0
86245,255,206,112,1,62,0,0,0
86256,255,206,112,3,64,0,0,0
86263,255,206,112,5,66,0,0,0
86275,255,206,112,7,68,0,0,0
86286,255,206,112,9,70,0,0,0
86293,255,206,112,11,72,0,0,0
86304,255,206,112,13,74,0,0,0
86316,255,206,112,15,76,0,0,0
86327,255,206,112,1,62,0,0,0
86334,255,206,112,3,64,0,0,0
86345,255,206,112,5,66,0,0,0
86355,255,206,112,7,68,0,0,0
86364,255,206,112,9,70,0,0,0
86375,255,206,112,11,72,0,0,0
86386,255,206,112,13,74,0,0,0
86393,255,206,112,15,76,0,0,0
86405,255,206,112,1,62,0,0,0
86415,255,206,112,3,64,0,0,0
86426,255,206,112,5,66,0,0,0
86433,255,206,112,7,68,0,0,0
86445,255,206,112,9,70,0,0,0
86456,255,206,112,11,72,0,0,0
86464,255,206,112,13,74,0,0,0
86474,255,206,112,15,76,0,0,0
86486,255,206,112,1,62,0,0,0
86494,255,206,112,3,64,0,0,0
86504,255,206,112,5,66,0,0,0
86515,255,206,112,7,68,0,0,0
86526,255,206,112,9,70,0,0,0
86534,255,206,112,11,72,0,0,0
86545,255,206,112,13,74,0,0,0
86556,255,206,112,15,76,0,0,0
86563,255,206,112,1,62,0,0,0
86575,255,206,112,3,64,0,0,0
86586,255,206,112,5,66,0,0,0
86593,255,206,112,7,68,0,0,0
86604,255,206,112,9,70,0,0,0
86616,255,206,112,11,72,0,0,0
86627,255,206,112,13,74,0,0,0
86634,255,206,112,15,76,0,0,0
86645,255,206,112,1,62,0,0,0
86656,255,206,112,3,64,0,0,0
86664,255,206,112,5,66,0,0,0
86675,255,206,112,7,68,0,0,0
86686,255,206,112,9,70,0,0,0
86693,255,206,112,11,72,0,0,0
86705,255,206,112,13,74,0,0,0
86715,255,206,112,15,76,0,0,0
86726,255,206,112,1,62,0,0,0
86733,255,206,112,3,64,0,0,0
86745,255,206,112,5,66,0,0,0
86756,255,206,112,7,68,0,0,0
86763,255,206,112,9,70,0,0,0
86774,255,206,112,11,72,0,0,0
86786,255,206,112,13,74,0,0,0
86793,255,206,112,15,76,0,0,0
86804,255,206,112,1,62,0,0,0
86815,255,206,112,3,64,0,0,0
86827,255,206,112,5,66,0,0,0
86834,255,206,112,7,68,0,0,0
86845,255,206,112,9,70,0,0,0
86856,255,206,112,11,72,0,0,0
86863,255,206,112,13,74,0,0,0
86875,255,206,112,15,76,0,0,0
86886,255,206,112,1,62,0,0,0
86893,255,206,112,3,64,0,0,0
86904,255,206,112,5,66,0,0,0
86916,255,206,112,7,68,0,0,0
86927,255,206,112,9,70,0,0,0
86934,255,206,112,11,72,0,0,0
86945,255,206,112,13,74,0,0,0
86956,255,206,112,15,76,0,0,0
86964,255,206,112,1,62,0,0,0
86975,255,206,112,3,64,0,0,0
86986,255,206,112,5,66,0,0,0
86993,255,206,112,7,68,0,0,0
87005,255,206,112,9,70,0,0,0
87015,255,206,112,11,72,0,0,0
87026,255,206,112,13,74,0,0,0
87033,255,206,112,15,76,0,0,0
87045,255,206,112,1,62,0,0,0
87056,255,206,112,3,64,0,0,0
87063,255,206,112,5,66,0,0,0
87074,255,206,112,7,68,0,0,0
87086,255,206,112,9,70,0,0,0
87093,255,206,112,11,72,0,0,0
87104,255,206,112,13,74,0,0,0
87115,255,206,112,15,76,0,0,0
87127,255,206,112,1,62,0,0,0
87134,255,206,112,3,64,0,0,0
87145,255,206,112,5,66,0,0,0
87156,255,206,112,7,68,0,0,0
87163,255,206,112,9,70,0,0,0
87175,255,206,112,11,72,0,0,0
87186,255,206,112,13,74,0,0,0
87193,255,206,112,15,76,0,0,0
87204,255,206,112,1,62,0,0,0
87216,255,206,112,3,64,0,0,0
87226,255,206,112,5,66,0,0,0
87234,255,206,112,7,68,0,0,0
87256,255,206,112,11,72,0,0,0
87263,255,206,112,13,74,0,0,0
87274,255,206,112,15,76,0,0,0
87285,255,206,112,1,62,0,0,0
87293,255,206,112,3,64,0,0,0
87304,255,206,112,5,66,0,0,0
87315,255,206,112,7,68,0,0,0
87326,255,206,112,9,70,0,0,0
87333,255,206,112,11,72,0,0,0
87345,255,206,112,13,74,0,0,0
87356,255,206,112,15,76,0,0,0
87363,255,206,112,1,62,0,0,0
87374,255,206,112,3,64,0,0,0
87386,255,206,112,5,66,0,0,0
87393,255,206,112,7,68,0,0,0
87404,255,206,112,9,70,0,0,0
87415,255,206,112,11,72,0,0,0
87427,255,206,112,13,74,0,0,0
87434,255,206,112,15,76,0,0,0
87445,255,206,112,1,62,0,0,0
87456,255,206,112,3,64,0,0,0
87463,255,206,112,5,66,0,0,0
87475,255,206,112,7,68,0,0,0
87486,255,206,112,9,70,0,0,0
87493,255,206,112,11,72,0,0,0
87504,255,206,112,13,74,0,0,0
87516,255,206,112,15,76,0,0,0
87534,255,206,112,3,64,0,0,0
87545,255,206,112,5,66,0,0,0
87556,255,206,112,7,68,0,0,0
87564,255,206,112,9,70,0,0,0
87575,255,206,112,11,72,0,0,0
87585,255,206,112,13,74,0,0,0
87593,255,206,112,15,76,0,0,0
87604,255,206,112,1,62,0,0,0
87615,255,206,112,3,64,0,0,0
87633,255,206,112,7,68,0,0,0
87645,255,206,112,9,70,0,0,0
87656,255,206,112,11,72,0,0,0
87663,255,206,112,13,74,0,0,0
87674,255,206,112,15,76,0,0,0
87686,255,206,112,1,62,0,0,0
87693,255,206,112,3,64,0,0,0
87704,255,206,112,5,66,0,0,0
87715,255,206,112,7,68,0,0,0
87734,255,206,112,11,72,0,0,0
87745,255,206,112,13,74,0,0,0
87756,255,206,112,15,76,0,0,0
87763,255,206,112,1,62,0,0,0
87775,255,206,112,3,64,0,0,0
87786,255,206,112,5,66,0,0,0
87793,255,206,112,7,68,0,0,0
87804,255,206,112,9,70,0,0,0
87816,255,206,112,11,72,0,0,0
87834,255,206,112,15,76,0,0,0
87845,255,206,112,1,62,0,0,0
87856,255,206,112,3,64,0,0,0
87864,255,206,112,5,66,0,0,0
87875,255,206,112,7,68,0,0,0
87894,255,206,112,11,72,0,0,0
87904,255,206,112,13,74,0,0,0
87915,255,206,112,15,76,0,0,0
87933,255,206,112,3,64,0,0,0
87945,255,206,112,5,66,0,0,0
87956,255,206,112,7,68,0,0,0
87964,255,206,112,9,70,0,0,0
87974,255,206,112,11,72,0,0,0
87993,255,206,112,15,76,0,0,0
88004,255,206,112,1,62,0,0,0
88015,255,206,112,3,64,0,0,0
88034,255,206,112,7,68,0,0,0
88045,255,206,112,9,70,0,0,0
88056,255,206,112,11,72,0,0,0
88064,255,206,112,13,74,0,0,0
88075,255,206,112,15,76,0,0,0
88093,255,206,112,3,64,0,0,0
88104,255,206,112,5,66,0,0,0
88115,255,206,112,7,68,0,0,0
88134,255,206,112,11,72,0,0,0
88156,255,206,112,15,76,0,0,0
88164,255,206,112,1,62,0,0,0
88174,255,206,112,3,64,0,0,0
88194,255,206,112,7,68,0,0,0
88204,255,206,112,9,70,0,0,0
88215,255,206,112,11,72,0,0,0
88233,255,206,112,15,76,0,0,0
88256,255,206,112,3,64,0,0,0
88263,255,206,112,5,66,0,0,0
88274,255,206,112,7,68,0,0,0
88293,255,206,112,11,72,0,0,0
88304,255,206,112,13,74,0,0,0
88315,255,206,112,15,76,0,0,0
88334,255,206,112,3,64,0,0,0
88356,255,206,112,7,68,0,0,0
88364,255,206,112,9,70,0,0,0
88375,255,206,112,11,72,0,0,0
88393,255,206,112,15,76,0,0,0
88404,255,206,112,1,62,0,0,0
88415,255,206,112,3,64,0,0,0
88434,255,206,112,7,68,0,0,0
88456,255,206,112,11,72,0,0,0
88464,255,206,112,13,74,0,0,0
88474,255,206,112,15,76,0,0,0
88494,255,206,112,3,64,0,0,0
88504,255,206,112,5,66,0,0,0
88515,255,206,112,7,68,0,0,0
88522,255,206,112,9,70,0,0,0
88534,255,206,112,11,72,0,0,0
88556,255,206,112,15,76,0,0,0
88563,255,206,112,1,62,0,0,0
88574,255,206,112,3,64,0,0,0
88593,255,206,112,7,68,0,0,0
88604,255,206,112,9,70,0,0,0
88615,255,206,112,11,72,0,0,0
88634,255,206,112,15,76,0,0,0
88656,255,206,112,3,64,0,0,0
88664,255,206,112,5,66,0,0,0
88675,255,206,112,7,68,0,0,0
88693,255,206,112,11,72,0,0,0
88705,255,206,112,13,74,0,0,0
88715,255,206,112,15,76,0,0,0
88734,255,206,112,3,64,0,0,0
88756,255,206,112,7,68,0,0,0
88763,255,206,112,9,70,0,0,0
88774,255,206,112,11,72,0,0,0
88794,255,206,112,15,76,0,0,0
88815,255,206,112,3,64,0,0,0
88822,255,206,112,5,66,0,0,0
88834,255,206,112,7,68,0,0,0
88856,255,206,112,11,72,0,0,0
88863,255,206,112,13,74,0,0,0
88875,255,206,112,15,76,0,0,0
88893,255,206,112,3,64,0,0,0
88915,255,206,112,7,68,0,0,0
88923,255,206,112,9,70,0,0,0
88934,255,206,112,11,72,0,0,0
88956,255,206,112,15,76,0,0,0
88964,255,206,112,1,62,0,0,0
88975,255,206,112,3,64,0,0,0
88993,255,206,112,7,68,0,0,0
89015,255,206,112,11,72,0,0,0
89023,255,206,112,13,74,0,0,0
89033,255,206,112,15,76,0,0,0
89056,255,206,112,3,64,0,0,0
89063,255,206,112,5,66,0,0,0
89074,255,206,112,7,68,0,0,0
89094,255,206,112,11,72,0,0,0
89115,255,206,112,15,76,0,0,0
89122,255,206,112,1,62,0,0,0
89134,255,206,112,3,64,0,0,0
89156,255,206,112,7,68,0,0,0
89163,255,206,112,9,70,0,0,0
89175,255,206,112,11,72,0,0,0
89193,255,206,112,15,76,0,0,0
89216,255,206,112,3,64,0,0,0
89223,255,206,112,5,66,0,0,0
89234,255,206,112,7,68,0,0,0
89255,255,206,112,11,72,0,0,0
89264,255,206,112,13,74,0,0,0
89274,255,206,112,15,76,0,0,0
89293,255,206,112,3,64,0,0,0
89316,255,206,112,7,68,0,0,0
89323,255,206,112,9,70,0,0,0
89334,255,206,112,11,72,0,0,0
89356,255,206,112,15,76,0,0,0
89374,255,206,112,3,64,0,0,0
89394,255,206,112,7,68,0,0,0
89415,255,206,112,11,72,0,0,0
89422,255,206,112,13,74,0,0,0
89434,255,206,112,15,76,0,0,0
89456,255,206,112,3,64,0,0,0
89475,255,206,112,7,68,0,0,0
89493,255,206,112,11,72,0,0,0
89516,255,206,112,15,76,0,0,0
89523,255,206,112,1,62,0,0,0
89534,255,206,112,3,64,0,0,0
89552,255,206,112,7,68,0,0,0
89575,255,206,112,11,72,0,0,0
89593,255,206,112,15,76,0,0,0
89615,255,206,112,3,64,0,0,0
89623,255,206,112,5,66,0,0,0
89633,255,206,112,7,68,0,0,0
89656,255,206,112,11,72,0,0,0
89674,255,206,112,15,76,0,0,0
89694,255,206,112,3,64,0,0,0
89715,255,206,112,7,68,0,0,0
89735,255,206,112,11,72,0,0,0
89753,255,206,112,15,76,0,0,0
89775,255,206,112,3,64,0,0,0
89783,255,206,112,5,66,0,0,0
89794,255,206,112,7,68,0,0,0
89816,255,206,112,11,72,0,0,0
89835,255,206,112,15,76,0,0,0
89853,255,206,112,3,64,0,0,0
89894,255,206,112,11,72,0,0,0
89913,255,206,112,15,76,0,0,0
89924,255,206,112,1,62,0,0,0
89935,255,206,112,3,64,0,0,0
89946,255,206,112,5,66,0,0,0
