TIMESTAMP,BYTE0,BYTE1,BYTE2,BYTE3,BYTE4,BYTE5,BYTE6,BYTE7
85082,192,0,156,1,0,40,160,6
85122,192,1,155,1,0,40,160,6
85141,192,1,158,1,0,40,160,6
85181,192,1,157,1,0,40,160,6
85222,192,0,160,1,0,40,160,6
85240,192,0,160,1,0,40,160,6
85281,192,1,158,1,0,40,160,6
85300,192,1,158,1,0,40,160,6
85322,192,1,158,1,0,40,160,6
85341,192,1,157,1,0,40,160,6
85382,192,0,160,1,0,40,160,6
85423,192,0,159,1,0,40,160,6
85441,192,0,159,1,0,40,160,6
85482,192,1,161,1,0,40,160,6
85523,192,1,158,1,0,40,160,6
85541,192,0,160,1,0,40,160,6
85622,192,0,159,1,0,40,160,6
85641,192,0,159,1,0,40,160,6
85682,192,0,156,1,0,40,160,6
85723,192,1,158,1,0,40,160,6
85741,192,1,157,1,0,40,160,6
85782,192,1,158,1,0,40,160,6
85823,192,0,156,1,0,40,160,6
85841,192,0,156,1,0,40,160,6
85882,192,0,159,1,0,40,160,6
85922,192,0,159,1,0,40,160,6
85941,192,0,160,1,0,40,160,6
85982,192,1,158,1,0,40,160,6
86023,192,0,159,1,0,40,160,6
86041,192,0,159,1,0,40,160,6
86082,192,1,157,1,0,40,160,6
86123,192,0,159,1,0,40,160,6
86141,192,1,157,1,0,40,160,6
86182,192,0,159,1,0,40,160,6
86222,192,1,158,1,0,40,160,6
86241,192,1,158,1,0,40,160,6
86282,192,0,159,1,0,40,160,6
86323,192,1,157,1,0,40,160,6
86341,192,0,159,1,0,40,160,6
86382,192,1,157,1,0,40,160,6
86423,192,1,158,1,0,40,160,6
86441,192,1,158,1,0,40,160,6
86482,192,1,155,1,0,40,160,6
86522,192,1,158,1,0,40,160,6
86542,192,1,158,1,0,40,160,6
86623,192,0,160,1,0,40,160,6
86641,192,0,160,1,0,40,160,6
86682,192,1,161,1,0,40,160,6
86723,192,1,161,1,0,40,160,6
86782,192,0,160,1,0,40,160,6
86822,192,1,161,1,0,40,160,6
86882,192,0,159,1,0,40,160,6
86923,192,0,159,1,0,40,160,6
86982,192,0,160,1,0,40,160,6
87023,192,1,158,1,0,40,160,6
87083,192,0,159,1,0,40,160,6
87122,192,0,156,1,0,40,160,6
87182,192,0,156,1,0,40,160,6
87223,192,0,156,1,0,40,160,6
87282,192,0,154,1,0,40,160,6
87323,192,0,156,1,0,40,160,6
87382,192,1,157,1,0,40,160,6
87422,192,0,154,1,0,40,160,6
87482,192,1,157,1,0,40,160,6
87523,192,0,156,1,0,40,160,6
87622,192,0,160,1,0,40,160,6
87642,192,0,160,1,0,40,160,6
87682,192,1,158,1,0,40,160,6
87723,192,0,159,1,0,40,160,6
87741,192,0,156,1,0,40,160,6
87782,192,1,157,1,0,40,160,6
87823,192,0,156,1,0,40,160,6
87841,192,0,156,1,0,40,160,6
87882,192,1,158,1,0,40,160,6
87922,192,1,158,1,0,40,160,6
87942,192,1,158,1,0,40,160,6
87983,192,0,159,1,0,40,160,6
88023,192,0,159,1,0,40,160,6
88041,192,0,160,1,0,40,160,6
88059,192,0,160,1,0,40,160,6
88082,192,1,158,1,0,40,160,6
88123,192,0,159,1,0,40,160,6
88141,192,0,159,1,0,40,160,6
88182,192,1,158,1,0,40,160,6
88222,192,0,159,1,0,40,160,6
88241,192,1,157,1,0,40,160,6
88282,192,1,158,1,0,40,160,6
88323,192,0,156,1,0,40,160,6
88341,192,0,156,1,0,40,160,6
88382,192,1,158,1,0,40,160,6
88423,192,1,157,1,0,40,160,6
88441,192,0,159,1,0,40,160,6
88482,192,1,157,1,0,40,160,6
88541,192,1,157,1,0,40,160,6
88623,192,1,157,1,0,40,160,6
88641,192,1,157,1,0,40,160,6
88682,192,0,159,1,0,40,160,6
88723,192,1,158,1,0,40,160,6
88741,192,1,158,1,0,40,160,6
88782,192,0,159,1,0,40,160,6
88841,192,1,157,1,0,40,160,6
88882,192,1,155,1,0,40,160,6
88941,192,0,156,1,0,40,160,6
88982,192,1,155,1,0,40,160,6
89041,192,1,155,1,0,40,160,6
89082,192,0,156,1,0,40,160,6
89141,192,0,156,1,0,40,160,6
89182,192,0,156,1,0,40,160,6
89241,192,1,158,1,0,40,160,6
89282,192,1,157,1,0,40,160,6
89341,192,0,159,1,0,40,160,6
89382,192,1,157,1,0,40,160,6
89441,192,0,156,1,0,40,160,6
89483,192,1,158,1,0,40,160,6
89541,192,1,157,1,0,40,160,6
89560,192,1,158,1,0,40,160,6
89641,192,0,160,1,0,40,160,6
89682,192,0,159,1,0,40,160,6
89760,192,0,160,1,0,40,160,6
89861,192,0,159,1,0,40,160,6
89920,192,1,157,1,0,40,160,6
89961,192,1,158,1,0,40,160,6
90061,192,1,157,1,0,40,160,6
90080,192,1,155,1,0,40,160,6
90780,192,0,156,1,0,40,160,6
90940,192,1,157,1,0,40,160,6
91160,192,1,158,1,0,40,160,6
91840,192,0,156,1,0,40,160,6
92160,192,1,157,1,0,40,160,6
92320,192,1,157,1,0,40,160,6
92480,192,0,159,1,0,40,160,6
93260,192,0,156,1,0,40,160,6
94000,192,1,158,1,0,40,160,6
94320,192,1,157,1,0,40,160,6
94420,192,0,159,1,0,40,160,6
94680,192,1,157,1,0,40,160,6
94839,192,0,154,1,0,40,160,6
94940,192,0,154,1,0,40,160,6
95040,192,0,154,1,0,40,160,6
95300,192,0,154,1,0,40,160,6
95460,192,1,155,1,0,40,160,6
95560,192,0,153,1,0,40,160,6
95760,192,1,155,1,0,40,160,6
95921,192,0,154,1,0,40,160,6
96020,192,0,153,1,0,40,160,6
96120,192,1,152,1,0,40,160,6
96221,192,0,142,1,0,40,160,6
96320,192,0,144,1,0,40,160,6
96420,192,0,144,1,0,40,160,6
96521,192,0,144,1,0,40,160,6
96621,192,1,146,1,0,40,160,6
96720,192,0,147,1,0,40,160,6
96780,192,0,147,1,0,40,160,6
96821,192,1,145,1,0,40,160,6
96881,192,1,148,1,0,40,160,6
96941,192,1,148,1,0,40,160,6
97041,192,0,148,1,0,40,168,6
97160,192,1,143,1,0,40,160,6
97260,192,1,145,1,0,40,160,6
97360,192,0,149,1,0,40,160,6
97421,192,0,147,1,0,40,160,6
97521,192,0,144,1,0,40,160,6
97581,192,1,143,1,0,40,160,6
97681,192,1,143,1,0,40,160,6
97780,192,0,140,1,0,40,168,6
97881,192,0,140,1,0,40,168,6
97940,192,0,140,1,0,40,168,6
98041,192,1,142,1,0,40,168,6
100061,192,1,141,1,0,40,168,6
100120,192,0,140,1,0,40,168,6
100281,192,1,142,1,0,40,168,6
100340,192,0,140,1,0,40,168,6
100401,192,1,139,1,0,40,168,6
100460,192,1,139,1,0,40,168,6
100680,192,0,140,1,0,40,168,6
100741,192,0,140,1,0,40,168,6
100860,192,1,139,1,0,40,168,6
101160,192,1,142,1,0,40,168,6
101460,192,0,140,1,0,40,168,6
101700,192,1,141,1,0,40,168,6
101761,192,1,142,1,0,40,168,6
101820,192,1,141,1,0,40,168,6
101880,192,1,139,1,0,40,168,6
102000,192,1,141,1,0,40,168,6
102061,192,1,141,1,0,40,168,6
102121,192,1,141,1,0,40,168,6
102180,192,0,140,1,0,40,168,6
102241,192,0,140,1,0,40,168,6
102420,192,1,141,1,0,40,168,6
102541,192,1,139,1,0,40,168,6
102661,192,1,141,1,0,40,168,6
102720,192,0,140,1,0,40,168,6
102882,192,1,141,1,0,40,168,6
102900,192,1,142,1,0,40,168,6
102961,192,1,142,1,0,40,168,6
103020,192,0,143,1,0,40,168,6
103841,192,1,142,1,0,40,168,6
103942,192,0,143,1,0,40,168,6
104025,192,0,143,1,0,40,168,6
104043,192,0,143,1,0,40,168,6
104061,192,0,143,1,0,40,168,6
104122,192,1,141,1,0,40,168,6
104144,192,0,143,1,0,40,168,6
104163,192,0,143,1,0,40,168,6
104181,192,1,142,1,0,40,168,6
104223,192,0,143,1,0,40,168,6
104242,192,0,143,1,0,40,168,6
104283,192,1,142,1,0,40,168,6
104325,192,0,143,1,0,40,168,6
104343,192,1,142,1,0,40,168,6
104361,192,1,142,1,0,40,168,6
104422,192,0,143,1,0,40,168,6
104441,192,0,143,1,0,40,168,6
104464,192,0,143,1,0,40,168,6
104482,192,0,143,1,0,40,168,6
104524,192,1,142,1,0,40,168,6
104544,192,0,143,1,0,40,168,6
104562,192,0,143,1,0,40,168,6
104582,192,1,142,1,0,40,168,6
104623,192,1,144,1,0,40,168,6
104642,192,1,144,1,0,40,168,6
104683,192,0,143,1,0,40,168,6
104721,192,0,145,1,0,40,168,6
104744,192,1,144,1,0,40,168,6
104763,192,1,144,1,0,40,168,6
104782,192,0,145,1,0,40,168,6
104801,192,0,145,1,0,40,168,6
104823,192,0,143,1,0,40,168,6
104843,192,0,143,1,0,40,168,6
104861,192,1,144,1,0,40,168,6
104922,192,1,142,1,0,40,168,6
104964,192,0,143,1,0,40,168,6
104982,192,0,143,1,0,40,168,6
105024,192,1,144,1,0,40,168,6
105042,192,1,144,1,0,40,168,6
105062,192,0,143,1,0,40,168,6
105084,192,0,143,1,0,40,168,6
105122,192,1,141,1,0,40,168,6
105141,192,1,141,1,0,40,168,6
105163,192,1,141,1,0,40,168,6
105183,192,1,141,1,0,40,168,6
105224,192,0,140,1,0,40,168,6
105243,192,1,141,1,0,40,168,6
105262,192,1,141,1,0,40,168,6
105284,192,1,141,1,0,40,168,6
105322,192,0,143,1,0,40,168,6
105341,192,0,143,1,0,40,168,6
105363,192,1,142,1,0,40,168,6
105382,192,1,142,1,0,40,168,6
105424,192,1,144,1,0,40,168,6
105443,192,1,144,1,0,40,168,6
105461,192,1,144,1,0,40,168,6
105485,192,0,145,1,0,40,168,6
105523,192,1,144,1,0,40,168,6
105541,192,1,144,1,0,40,168,6
105564,192,0,145,1,0,40,168,6
105582,192,0,145,1,0,40,168,6
105624,192,0,143,1,0,40,168,6
105643,192,0,143,1,0,40,168,6
105662,192,0,143,1,0,40,168,6
105684,192,1,142,1,0,40,168,6
105722,192,1,144,1,0,40,168,6
105741,192,1,144,1,0,40,168,6
105763,192,0,143,1,0,40,168,6
105782,192,0,143,1,0,40,168,6
105824,192,1,142,1,0,40,168,6
105843,192,1,142,1,0,40,168,6
105862,192,1,142,1,0,40,168,6
105922,192,1,142,1,0,40,168,6
105945,192,0,143,1,0,40,168,6
105963,192,0,143,1,0,40,168,6
105982,192,1,141,1,0,40,168,6
106023,192,0,143,1,0,40,168,6
106043,192,0,143,1,0,40,168,6
106061,192,0,143,1,0,40,168,6
106084,192,0,143,1,0,40,168,6
106122,192,0,143,1,0,40,168,6
106141,192,0,143,1,0,40,168,6
106163,192,0,143,1,0,40,168,6
106182,192,0,145,1,0,40,168,6
106223,192,0,143,1,0,40,168,6
106243,192,0,143,1,0,40,168,6
106261,192,0,143,1,0,40,168,6
106285,192,0,143,1,0,40,168,6
106321,192,1,141,1,0,40,168,6
106345,192,0,143,1,0,40,168,6
106363,192,0,143,1,0,40,168,6
106382,192,1,142,1,0,40,168,6
106424,192,0,143,1,0,40,168,6
106442,192,0,143,1,0,40,168,6
106462,192,1,142,1,0,40,168,6
106484,192,1,142,1,0,40,168,6
106521,192,0,143,1,0,40,168,6
106545,192,1,142,1,0,40,168,6
106563,192,1,142,1,0,40,168,6
106582,192,1,142,1,0,40,168,6
106601,192,1,142,1,0,40,168,6
106624,192,1,141,1,0,40,168,6
106642,192,1,141,1,0,40,168,6
106661,192,1,142,1,0,40,168,6
106684,192,1,142,1,0,40,168,6
106721,192,0,143,1,0,40,168,6
106744,192,0,143,1,0,40,168,6
106763,192,1,142,1,0,40,168,6
106781,192,1,142,1,0,40,168,6
106823,192,0,143,1,0,40,168,6
106842,192,1,141,1,0,40,168,6
106861,192,1,141,1,0,40,168,6
106920,192,1,141,1,0,40,168,6
106944,192,1,141,1,0,40,168,6
106962,192,1,144,1,0,40,168,6
106981,192,1,144,1,0,40,168,6
107023,192,0,143,1,0,40,168,6
107041,192,0,143,1,0,40,168,6
107064,192,0,143,1,0,40,168,6
107082,192,1,141,1,0,40,168,6
107124,192,0,143,1,0,40,168,6
