TIMESTAMP,BYTE0,BYTE1,BYTE2,BYTE3,BYTE4,BYTE5,BYTE6,BYTE7
85089,0,12,246,66,0,0,6,1
85107,0,14,246,66,0,0,7,1
85148,0,2,236,66,0,0,6,1
85189,0,6,240,66,0,0,6,1
85208,0,8,228,66,0,0,7,1
85249,0,12,236,66,0,0,7,1
85288,0,0,233,66,0,0,6,129
85308,0,2,233,66,0,0,6,1
85348,0,6,238,66,0,0,6,1
85407,0,12,228,66,0,0,6,1
85448,0,0,222,66,0,0,6,1
85459,0,1,222,66,0,0,6,129
85467,0,2,222,66,0,0,6,129
85508,0,6,234,66,0,0,6,129
85549,0,10,228,66,0,0,6,1
85567,0,12,236,66,0,0,6,129
85608,0,0,231,66,0,0,6,1
85649,0,4,243,66,0,0,6,129
85667,0,6,243,66,0,0,6,1
85708,0,10,236,66,0,0,6,129
85768,0,0,233,66,0,0,6,129
85808,0,4,241,66,0,0,6,1
85849,0,8,229,66,0,0,6,1
85867,0,10,229,66,0,0,6,129
85908,0,14,230,66,0,0,6,1
85949,0,2,227,66,0,0,6,1
86008,0,8,235,66,0,0,7,1
86048,0,12,230,66,0,0,6,129
86068,0,14,239,66,0,0,6,1
86859,0,13,232,66,0,0,7,1
87159,0,11,237,66,0,0,6,129
87260,0,5,250,66,0,0,7,129
88259,0,9,240,66,0,0,7,129
88449,0,12,232,66,0,0,6,1
88460,0,13,232,66,0,0,6,129
88549,0,6,244,66,0,0,6,129
88560,0,7,244,66,0,0,6,1
88648,0,0,239,66,0,0,6,129
88659,0,1,239,66,0,0,7,129
88760,0,11,232,66,0,0,6,129
88808,0,0,242,66,0,0,7,1
88908,0,10,243,66,0,0,7,129
89008,0,4,242,66,0,0,6,1
89060,0,9,243,66,0,0,7,129
89108,0,142,251,66,0,0,6,129
89208,0,136,244,66,0,0,7,1
89260,0,141,239,66,0,0,7,1
89308,0,130,232,66,0,0,6,1
89367,0,136,239,66,0,0,7,1
89408,0,140,235,66,0,0,7,1
89508,0,134,240,66,0,0,6,129
89568,0,140,233,66,0,0,6,1
89608,0,128,237,66,0,0,7,1
89708,0,138,223,66,0,0,7,129
89719,0,139,223,66,0,0,6,129
89808,0,132,224,66,0,0,6,129
89886,0,140,226,66,0,0,6,129
89979,0,133,235,66,0,0,6,129
90200,0,139,248,66,0,0,7,1
90359,0,139,254,66,0,0,7,1
90680,0,139,242,66,0,0,6,129
90710,0,142,248,66,0,0,6,129
90840,0,139,233,66,0,0,6,129
91089,0,132,240,66,0,0,6,1
91280,0,135,243,66,0,0,6,1
91310,0,138,237,66,0,0,6,129
91440,0,135,240,66,0,0,7,129
91469,0,138,233,66,0,0,7,129
91570,0,132,226,66,0,0,6,1
91669,0,142,231,66,0,0,6,1
91769,0,136,236,66,0,0,7,1
91870,0,130,236,66,0,0,6,129
92059,0,133,240,66,0,0,7,1
92220,0,133,242,66,0,0,6,1
92250,0,136,242,66,0,0,7,1
92380,0,133,233,66,0,0,6,1
92409,0,136,233,66,0,0,6,129
92539,0,133,242,66,0,0,6,1
92640,0,143,246,66,0,0,6,129
