TIMESTAMP,BYTE0,BYTE1,BYTE2,BYTE3,BYTE4,BYTE5,BYTE6,BYTE7
85400,48,1,0,109,16,70,1,0
89950,54,1,0,110,16,70,1,0
90400,55,1,0,110,16,70,1,0
90650,46,1,0,110,16,70,1,0
91250,52,1,0,110,16,70,1,0
94100,51,1,0,110,16,70,1,0
94450,53,1,0,110,16,70,1,0
95950,62,1,0,110,16,70,1,0
96050,62,1,0,110,16,70,1,0
96150,55,1,0,110,16,70,1,0
96350,53,1,0,110,16,70,1,0
99901,76,1,0,111,16,70,1,0
100151,78,1,0,111,16,70,1,0
100801,77,1,0,111,16,70,1,0
101551,74,1,0,111,16,70,1,0
101851,70,1,0,111,16,70,1,0
102151,65,1,0,111,16,70,1,0
102301,64,1,0,111,16,70,1,0
102451,66,1,0,111,16,70,1,0
102751,64,1,0,111,16,70,1,0
103051,59,1,0,111,16,70,1,0
105001,62,1,0,111,16,70,1,0
105401,60,1,0,111,16,70,1,0
105602,68,1,0,111,16,70,1,0
105801,66,1,0,111,16,70,1,0
106001,71,1,0,111,16,70,1,0
106201,62,1,0,111,16,70,1,0
106401,69,1,0,111,16,70,1,0
108801,113,1,0,111,18,70,1,0
109251,92,2,0,111,21,70,1,0
109401,31,4,0,111,24,70,1,0
109551,90,7,0,111,29,70,1,0
109702,241,8,0,111,34,70,1,0
110252,185,14,0,111,33,70,1,0
116502,102,1,0,112,17,70,1,0
116952,54,1,0,112,16,70,1,0
120202,65,1,0,112,16,70,1,0
120502,64,1,0,112,16,70,1,0
120652,65,1,0,112,16,70,1,0
121702,109,1,0,112,17,70,1,0
121852,82,1,0,112,16,70,1,0
122803,59,1,0,112,16,70,3,0
123103,88,1,0,112,16,70,1,0
124203,34,1,0,113,13,70,1,0
124752,46,1,0,113,13,70,1,0
125103,57,1,0,113,12,70,1,0
125452,69,1,0,113,12,70,1,0
125752,85,1,0,113,12,70,1,0
126402,117,1,0,113,12,70,1,0
127203,138,1,0,113,12,70,3,0
128303,141,1,0,113,12,70,3,0
129003,15,2,0,113,13,70,3,0
129503,251,1,0,113,12,70,1,0
130603,165,1,0,113,12,70,1,0
131103,87,1,0,113,12,70,1,0
131352,74,1,0,114,13,70,1,0
132052,72,1,0,114,14,70,1,0
132602,65,1,0,114,15,70,1,0
133303,139,1,0,114,17,70,1,0
133903,24,6,0,114,38,70,1,0
135003,163,8,0,114,44,70,1,0
135203,3,13,0,114,49,70,3,0
136953,146,20,0,114,40,70,3,0
137403,42,21,0,114,38,70,1,0
137953,243,10,0,114,25,70,1,0
138103,35,4,0,114,12,70,1,0
139603,50,32,0,114,66,70,1,0
139753,96,35,0,114,70,70,1,0
140253,152,40,0,115,73,70,1,0
140553,137,42,0,115,71,70,1,0
140703,58,48,0,115,75,70,1,0
141053,8,58,0,115,82,70,1,0
141603,168,56,0,115,64,70,1,0
141954,230,6,0,115,15,70,1,0
142703,0,0,0,115,16,70,1,0
143303,66,10,0,116,22,70,1,0
144004,189,15,0,116,33,70,1,0
144503,219,14,0,117,31,70,1,0
144654,171,14,0,117,32,70,1,0
144803,238,13,0,117,31,70,1,0
145553,0,0,0,117,13,70,1,0
146654,228,4,0,118,16,70,1,0
148254,96,4,0,119,17,70,1,0
148704,64,4,0,119,18,70,1,0
149004,61,4,0,119,18,70,1,0
149454,180,3,0,119,17,70,1,0
149753,159,3,0,119,16,70,1,0
150204,102,2,0,119,13,70,1,0
152404,0,0,0,120,14,70,1,0
