TIMESTAMP,BYTE0,BYTE1,BYTE2,BYTE3,BYTE4,BYTE5,BYTE6,BYTE7
85078,219,48,0,133,133,195,42,4
85178,219,80,0,133,133,195,42,4
85277,219,112,0,133,133,195,42,4
85378,220,144,0,133,133,195,42,4
85478,218,176,0,133,133,195,42,4
86878,219,112,0,133,133,195,42,4
87178,219,208,0,133,133,195,42,4
87278,219,240,0,133,133,195,42,4
88279,219,48,0,133,133,195,42,4
88579,220,144,0,132,132,195,42,4
88678,219,176,0,132,132,195,42,4
88778,220,208,0,132,132,195,42,4
89078,220,48,0,132,132,195,42,4
89278,218,112,0,132,132,195,42,4
89678,219,240,0,132,132,195,42,4
89726,219,0,0,132,132,195,42,4
89827,219,32,0,132,132,195,42,4
89927,219,64,0,132,132,195,42,4
90029,219,96,0,132,132,195,42,4
90129,219,128,0,132,132,195,42,4
90181,218,144,0,132,132,195,42,4
90281,219,176,0,132,132,195,42,4
90382,219,208,0,132,132,195,42,4
90427,219,224,0,132,132,195,42,4
90527,219,0,0,132,132,195,42,4
90628,219,32,0,132,132,195,42,4
90728,219,64,0,132,132,195,42,4
90828,220,96,0,132,132,195,42,4
90929,219,128,0,132,132,195,42,4
90981,218,144,0,132,132,195,42,4
91026,218,160,0,132,132,195,42,4
91126,219,192,0,132,132,195,42,4
91228,218,224,0,132,132,195,42,4
91331,219,0,0,132,132,195,42,4
91432,220,32,0,132,132,195,42,4
91481,220,48,0,132,132,195,42,4
91680,220,112,0,132,132,195,42,4
91881,218,176,0,132,132,195,42,4
91981,219,208,0,132,132,195,42,4
92082,219,240,0,132,132,195,42,4
92130,219,0,0,132,132,195,42,4
92231,220,32,0,132,132,195,42,4
92332,220,64,0,132,132,195,42,4
92432,220,96,0,132,132,195,42,4
92532,219,128,0,132,132,195,42,4
92780,220,208,0,132,132,195,42,4
92880,219,240,0,132,132,195,42,4
92981,217,16,0,132,132,195,42,4
93081,219,48,0,132,132,195,42,4
93231,219,96,0,132,132,195,42,4
93331,219,128,0,132,132,195,42,4
93431,220,160,0,132,132,195,42,4
93532,219,192,0,132,132,195,42,4
93780,219,16,0,132,132,195,42,4
93881,218,48,0,132,132,195,42,4
93981,218,80,0,132,132,195,42,4
94231,219,160,0,132,132,195,42,4
94331,219,192,0,132,132,195,42,4
94432,219,224,0,132,132,195,42,4
94532,219,0,0,132,132,195,42,4
94880,218,112,0,132,132,195,42,4
94981,219,144,0,132,132,195,42,4
95081,218,176,0,132,132,195,42,4
95181,220,208,0,132,132,195,42,4
95282,219,240,0,132,132,195,42,4
95832,219,160,0,132,132,195,42,4
95931,218,192,0,132,132,195,42,4
96031,218,224,0,132,132,195,42,4
96132,219,0,0,132,132,195,42,4
96331,219,64,0,132,132,195,42,4
96736,219,192,0,132,132,195,42,4
96832,219,224,0,132,132,195,42,4
96932,220,0,0,132,132,195,42,4
97033,219,32,0,132,132,195,42,4
97082,220,48,0,132,132,195,42,4
97134,220,64,0,132,132,195,42,4
97182,219,80,0,132,132,195,42,4
97234,219,96,0,132,132,195,42,4
97283,219,112,0,132,132,195,42,4
97335,219,128,0,132,132,195,42,4
97383,219,144,0,132,132,195,42,4
97435,219,160,0,132,132,195,42,4
97484,219,176,0,132,132,195,42,4
97532,219,192,0,132,132,195,42,4
97585,218,208,0,132,132,195,42,4
97633,218,224,0,132,132,195,42,4
97684,218,240,0,132,132,195,42,4
97732,218,0,0,132,132,195,42,4
97784,219,16,0,132,132,195,42,4
97832,219,32,0,132,132,195,42,4
97885,219,48,0,132,132,195,42,4
97933,219,64,0,132,132,195,42,4
97985,219,80,0,132,132,195,42,4
98033,219,96,0,132,132,195,42,4
98082,219,112,0,132,132,195,42,4
98134,219,128,0,132,132,195,42,4
98183,219,144,0,132,132,195,42,4
98234,219,160,0,132,132,195,42,4
98282,219,176,0,132,132,195,42,4
98334,219,192,0,132,132,195,42,4
98382,219,208,0,132,132,195,42,4
98434,219,224,0,132,132,195,42,4
98482,218,240,0,132,132,195,42,4
98534,218,0,0,132,132,195,42,4
98582,218,16,0,132,132,195,42,4
98634,218,32,0,132,132,195,42,4
98682,218,48,0,132,132,195,42,4
98734,218,64,0,132,132,195,42,4
98782,220,80,0,132,132,195,42,4
98834,220,96,0,132,132,195,42,4
98882,221,112,0,132,132,195,42,4
98934,221,128,0,132,132,195,42,4
98985,220,144,0,132,132,195,42,4
99034,220,160,0,132,132,195,42,4
99086,219,176,0,132,132,195,42,4
99134,219,192,0,132,132,195,42,4
99185,218,208,0,132,132,195,42,4
99234,218,224,0,132,132,195,42,4
99286,220,240,0,132,132,195,42,4
99334,220,0,0,132,132,195,42,4
99386,219,16,0,132,132,195,42,4
99434,219,32,0,132,132,195,42,4
99485,219,48,0,132,132,195,42,4
99534,219,64,0,132,132,195,42,4
99586,218,80,0,132,132,195,42,4
99634,218,96,0,132,132,195,42,4
99686,219,112,0,132,132,195,42,4
99734,219,128,0,132,132,195,42,4
99786,218,144,0,132,132,195,42,4
99834,218,160,0,132,132,195,42,4
99886,219,176,0,132,132,195,42,4
99934,219,192,0,132,132,195,42,4
99986,219,208,0,132,132,195,42,4
100034,219,224,0,132,132,195,42,4
100083,219,240,0,132,132,195,42,4
100135,219,0,0,132,132,195,42,4
100236,218,32,0,132,132,195,42,4
100333,220,64,0,132,132,195,42,4
100434,218,96,0,132,132,195,42,4
100535,219,128,0,132,132,195,42,4
100583,219,144,0,132,132,195,42,4
100636,219,160,0,132,132,195,42,4
100684,218,176,0,132,132,195,42,4
100737,218,192,0,132,132,195,42,4
100834,218,224,0,132,132,195,42,4
100935,219,0,0,132,132,195,42,4
100984,219,16,0,132,132,195,42,4
101037,219,32,0,132,132,195,42,4
101134,218,64,0,132,132,195,42,4
101235,218,96,0,132,132,195,42,4
101284,219,112,0,132,132,195,42,4
101337,219,128,0,132,132,195,42,4
101434,220,160,0,132,132,195,42,4
101535,219,192,0,132,132,195,42,4
101637,218,224,0,132,132,195,42,4
101685,219,240,0,132,132,195,42,4
101734,219,0,0,132,132,195,42,4
101786,218,16,0,132,132,195,42,4
101835,218,32,0,132,132,195,42,4
101884,220,48,0,132,132,195,42,4
101937,220,64,0,132,132,195,42,4
